Po Name,Zip,latitude,Pop2001,Area,zip2,State,longitude,Sumblkpop
ARMSTRONG,61812,40.2281,187,23.60008,61812,IL,-87.8978,189
BEMENT,61813,39.9143,2039,61.81411,61813,IL,-88.5518,2047
BISMARCK,61814,40.2469,962,15.61628,61814,IL,-87.5723,969
BROADLANDS,61816,39.9213,456,21.98007,61816,IL,-87.9981,455
CATLIN,61817,40.0594,2935,40.2383,61817,IL,-87.7106,2958
CERRO GORDO,61818,39.8752,1983,38.11786,61818,IL,-88.7136,1982
CHAMPAIGN,61820,40.1083,34037,6.28868,61820,IL,-88.2433,33706
CHAMPAIGN,61821,40.1119,30925,7.92657,61821,IL,-88.2753,30565
CHAMPAIGN,61822,40.1327,14109,104.5092,61822,IL,-88.3089,13718
CISCO,61830,40.0112,408,18.14419,61830,IL,-88.7171,412
COLLISON,61831,40.2217,370,26.77732,61831,IL,-87.8024,374
DANVILLE,61832,40.1352,38005,28.56985,61832,IL,-87.6336,38379
TILTON,61833,40.0973,2574,1.76725,61833,IL,-87.6474,2602
DANVILLE,61834,40.1687,8878,113.42637,61834,IL,-87.6331,8782
DE LAND,61839,40.1206,711,51.98142,61839,IL,-88.6479,707
DEWEY,61840,40.3035,703,32.06237,61840,IL,-88.2931,692
FAIRMOUNT,61841,40.0246,1392,77.15989,61841,IL,-87.8409,1408
FARMER CITY,61842,40.2478,2841,76.85277,61842,IL,-88.7475,2843
FISHER,61843,40.3164,2098,34.87264,61843,IL,-88.3684,2079
FITHIAN,61844,40.1403,1091,50.48159,61844,IL,-87.8764,1100
FOOSLAND,61845,40.368,1818,35.21106,61845,IL,-88.4055,1842
GEORGETOWN,61846,39.9779,5112,39.09031,61846,IL,-87.6187,5167
GIFFORD,61847,40.3096,1194,32.15823,61847,IL,-88.0257,1188
HOMER,61849,40.0091,1669,39.38813,61849,IL,-87.9856,1664
INDIANOLA,61850,39.9309,513,34.48787,61850,IL,-87.7383,523
IVESDALE,61851,39.9602,496,35.21803,61851,IL,-88.433,496
LONGVIEW,61852,39.8956,345,27.26906,61852,IL,-88.0769,343
MAHOMET,61853,40.2185,10737,53.5934,61853,IL,-88.4069,10540
MANSFIELD,61854,40.2125,1477,68.40095,61854,IL,-88.5356,1466
MILMINE,61855,39.9215,161,13.74712,61855,IL,-88.6663,163
MONTICELLO,61856,40.0206,6675,94.38221,61856,IL,-88.5817,6649
OAKWOOD,61858,40.1329,2663,28.89864,61858,IL,-87.7698,2677
OGDEN,61859,40.1533,1509,28.12294,61859,IL,-87.9682,1422
PENFIELD,61862,40.3063,499,38.48877,61862,IL,-87.9614,500
PESOTUM,61863,39.9033,775,26.53326,61863,IL,-88.278,775
PHILO,61864,39.9708,1650,26.76953,61864,IL,-88.1557,1612
POTOMAC,61865,40.3204,1403,64.13555,61865,IL,-87.8416,1415
RANTOUL,61866,40.3091,14134,73.34154,61866,IL,-88.1573,14218
RIDGE FARM,61870,39.9117,1402,39.18628,61870,IL,-87.6101,1418
SADORUS,61872,39.9514,762,35.04984,61872,IL,-88.3676,762
SAINT JOSEPH,61873,40.1401,5097,64.2822,61873,IL,-88.0389,5043
SAVOY,61874,40.0501,4181,4.89263,61874,IL,-88.2432,4075
SEYMOUR,61875,40.0989,786,27.21259,61875,IL,-88.4236,766
SIDELL,61876,39.9193,780,28.44739,61876,IL,-87.8349,779
